date,currency,rate
2022-01-01,JPY,-0.049
2022-01-01,NZD,1.03
2022-01-01,USD,0.22
2022-02-01,AUD,0.07
2022-02-01,CAD,0.325
2022-02-01,CHF,-0.684792
2022-02-01,EUR,-0.53150000005
2022-02-01,GBP,0.81
2022-02-01,JPY,-0.049
2022-02-01,NZD,1.21
2022-02-01,USD,0.38
2022-03-01,AUD,0.17
2022-03-01,CAD,0.566
2022-03-01,CHF,-0.682174347826087
2022-03-01,EUR,-0.495434782608696
2022-03-01,GBP,0.99
2022-03-01,JPY,-0.049
2022-03-01,NZD,1.49
2022-03-01,USD,0.73
2022-04-01,AUD,0.41
2022-04-01,CAD,1.0475
2022-04-01,CHF,-0.6725
2022-04-01,EUR,-0.447894736842105
2022-04-01,GBP,1.13
2022-04-01,JPY,-0.049
2022-04-01,NZD,1.81
2022-04-01,USD,0.91
2022-05-01,AUD,1.0
2022-05-01,CAD,1.3675
2022-05-01,CHF,-0.685
2022-05-01,EUR,-0.385727272727273
2022-05-01,GBP,1.31
2022-05-01,JPY,-0.049
2022-05-01,NZD,2.22
2022-05-01,USD,1.33
2022-06-01,AUD,1.6
2022-06-01,CAD,1.834
2022-06-01,CHF,-0.508571428571429
2022-06-01,EUR,-0.239227272727273
2022-06-01,GBP,1.57
2022-06-01,JPY,0.005
2022-06-01,NZD,2.68
2022-06-01,USD,1.87
2022-07-01,AUD,2.07
2022-07-01,CAD,2.445
2022-07-01,CHF,-0.11
2022-07-01,EUR,0.0366190476190476
2022-07-01,GBP,1.84
2022-07-01,JPY,-0.031
2022-07-01,NZD,3.03
2022-07-01,USD,2.5
2022-08-01,AUD,2.31
2022-08-01,CAD,2.908
2022-08-01,CHF,-0.0245454545454545
2022-08-01,EUR,0.394739130434783
2022-08-01,GBP,2.23
2022-08-01,JPY,-0.02
2022-08-01,NZD,3.31
2022-08-01,USD,2.76
2022-09-01,AUD,2.76
2022-09-01,CAD,3.42
2022-09-01,CHF,0.1475
2022-09-01,EUR,1.01086363636364
2022-09-01,GBP,2.91
2022-09-01,JPY,-0.016
2022-09-01,NZD,3.64
2022-09-01,USD,3.21
2022-10-01,AUD,2.95
2022-10-01,CAD,3.76
2022-10-01,CHF,0.52875
2022-10-01,EUR,1.42766666666667
2022-10-01,GBP,3.39
2022-10-01,JPY,-0.016
2022-10-01,NZD,4.0
2022-10-01,USD,3.85
2022-11-01,AUD,3.06
2022-11-01,CAD,3.988
2022-11-01,CHF,0.54
2022-11-01,EUR,1.82522727272727
2022-11-01,GBP,3.52
2022-11-01,JPY,-0.016
2022-11-01,NZD,4.24
2022-11-01,USD,4.46
2022-12-01,AUD,3.17
2022-12-01,CAD,4.1675
2022-12-01,CHF,0.736349047619048
2022-12-01,EUR,2.06347619047619
2022-12-01,GBP,3.78
2022-12-01,JPY,-0.015
2022-12-01,NZD,4.53
2022-12-01,USD,4.51
2023-01-01,AUD,3.32
2023-01-01,CAD,4.325
2023-01-01,CHF,0.986904761904762
2023-01-01,EUR,2.34486363636364
2023-01-01,GBP,4.01
2023-01-01,JPY,-0.006
2023-01-01,NZD,4.81
2023-01-01,USD,4.61
2023-02-01,AUD,3.46
2023-02-01,CAD,4.45
2023-02-01,CHF,1.0
2023-02-01,EUR,2.64035
2023-02-01,GBP,4.21
2023-02-01,JPY,0.001
2023-02-01,NZD,5.01
2023-02-01,USD,4.74
2023-03-01,AUD,3.64
2023-03-01,CAD,4.388
2023-03-01,CHF,1.36382260869565
2023-03-01,EUR,2.91056521739131
2023-03-01,GBP,4.33
2023-03-01,JPY,-0.008
2023-03-01,NZD,5.15
2023-03-01,USD,4.91
2023-04-01,AUD,3.66
2023-04-01,CAD,4.3675
2023-04-01,CHF,1.45
2023-04-01,EUR,3.167
2023-04-01,GBP,4.52
2023-04-01,JPY,-0.001
2023-04-01,NZD,5.49
2023-04-01,USD,5.03
2023-05-01,AUD,3.9
2023-05-01,CAD,4.478
2023-05-01,CHF,1.45
2023-05-01,EUR,3.3664347826087
2023-05-01,GBP,4.73
2023-05-01,JPY,-0.019
2023-05-01,NZD,5.67
2023-05-01,USD,5.15
2023-06-01,AUD,4.25
2023-06-01,CAD,4.8325
2023-06-01,CHF,1.59045454545455
2023-06-01,EUR,3.53586363636364
2023-06-01,GBP,5.09
2023-06-01,JPY,-0.003
2023-06-01,NZD,5.68
2023-06-01,USD,5.22
2023-07-01,AUD,4.3
2023-07-01,CAD,4.935
2023-07-01,CHF,1.72
2023-07-01,EUR,3.67180952380952
2023-07-01,GBP,5.49
2023-07-01,JPY,-0.003
2023-07-01,NZD,5.67
2023-07-01,USD,5.35
2023-08-01,AUD,4.15
2023-08-01,CAD,5.054
2023-08-01,CHF,1.76727272727273
2023-08-01,EUR,3.78030434782609
2023-08-01,GBP,5.53
2023-08-01,JPY,-0.003
